code,amt
BLUEBIRDUSDT,13278.6396615625
USDCUSDT,18543.774451072917
BTCDOMUSDT,22134.996698645835
DEFIUSDT,22878.495485798612
STPTUSDT,28578.08240089236
FOOTBALLUSDT,29500.804856319446
DGBUSDT,31364.633282538194
CKBUSDT,32213.001122656253
IDEXUSDT,39374.10927762847
CVXUSDT,43193.18807048611
XVGUSDT,46233.64495564236
MBLUSDT,58559.87782552223
TRUUSDT,59217.92563796528
ANTUSDT,60612.68514159722
RADUSDT,61091.11407638888
STEEMUSDT,61447.88766628472
BNXUSDT,61525.72818493056
NMRUSDT,67076.47738506945
ONGUSDT,68634.88567649305
SNTUSDT,71405.77829906944
KEYUSDT,71823.05085944306
DUSKUSDT,73359.0792605104
ICXUSDT,74066.30729857639
BICOUSDT,75042.69996232638
BALUSDT,76034.02088923611
SFPUSDT,79335.02640913194
SPELLUSDT,79526.05701936805
DARUSDT,79912.11579138889
QNTUSDT,80797.03070243055
AMBUSDT,82443.4690042014
TUSDT,83683.21336077432
TLMUSDT,83768.30615909374
ZENUSDT,85095.94305309028
DASHUSDT,86315.3709118507
GLMRUSDT,86838.93186954861
BNTUSDT,87871.74486597221
WAXPUSDT,88849.3989472882
ARPAUSDT,89455.16211543402
OXTUSDT,89617.9157543125
NKNUSDT,91162.72271730904
COTIUSDT,95460.05305100001
RSRUSDT,95922.53217302778
PHBUSDT,98545.05541038194
UMAUSDT,100011.6949982639
ATAUSDT,100446.23705427084
DODOXUSDT,100740.71426584027
ONTUSDT,102353.97346346875
GMXUSDT,102394.28919086806
RLCUSDT,103467.11164936806
CTSIUSDT,104147.41480086806
BSVUSDT,104776.57669687501
PENDLEUSDT,105174.48784166668
DENTUSDT,105650.40436146181
REEFUSDT,106697.63524639931
RVNUSDT,107499.18872176042
TWTUSDT,108708.51479107638
XEMUSDT,113618.39124527779
BATUSDT,115680.65352745834
ONEUSDT,119845.76346482291
GTCUSDT,119892.41150829861
KNCUSDT,121201.88568375
CELRUSDT,121593.16009190625
ALICEUSDT,123297.59280802084
CHRUSDT,126820.27571760416
CTKUSDT,127037.3515686111
MTLUSDT,128472.03725579861
ORBSUSDT,131153.3562955139
AUDIOUSDT,131659.8496671528
PERPUSDT,134229.63590733332
MDTUSDT,134481.93859494792
KSMUSDT,136050.74906006944
ZECUSDT,137631.90358178818
GALUSDT,138750.9081472917
FLMUSDT,139255.27813059028
ETHWUSDT,139416.4480888889
XTZUSDT,140191.1538470139
ILVUSDT,141536.47423125
LITUSDT,144363.65343465278
BONDUSDT,144776.56722368055
QTUMUSDT,145560.8607223611
BELUSDT,146154.49172513888
HFTUSDT,147294.07376246527
ENSUSDT,148292.47300475696
1000XECUSDT,150677.93222819793
ACHUSDT,153026.90236254514
LEVERUSDT,153703.30000583682
RIFUSDT,155356.86817270485
KLAYUSDT,156650.74237830556
FXSUSDT,158215.2432617014
POLYXUSDT,158569.59826440972
PEOPLEUSDT,161977.01889189932
BANDUSDT,165734.2930240625
RENUSDT,169771.60403689582
1INCHUSDT,178628.23200875
POWRUSDT,180860.80288083333
STGUSDT,181692.24883506945
OGNUSDT,183140.89153444444
STMXUSDT,183641.3306325764
KAVAUSDT,185727.73716136458
API3USDT,186485.12394408678
ARKUSDT,186623.8620204861
CAKEUSDT,186901.36845760417
ZILUSDT,186920.2170129097
HIFIUSDT,190191.28376944445
ENJUSDT,191553.11976961803
FRONTUSDT,192223.9123640625
